Strategy,total.Cost_0,total.Cost_3,total.Cost_7,avg.Feas
Baseline,0,0,0,1
S1,39329100.00,28630505.49,20040833.13,0.55
S2,152607400.00,100966623.96,63389773.64,0.65
S3,39359605.20,27475428.26,18546309.18,0.42
S4,1764181961.32,1461944349.29,1165889627.66,0.51
S5,130139148.80,88506157.70,58045072.96,0.66
S6,140322927.90,96336615.85,64021465.78,0.44
S7,336862880.00,216582867.35,131494728.59,0.62
S8,74221400.00,57628763.85,44340919.52,0.6
S9,467002028.80,305089025.05,189539801.55,0.64
S10,2101044841.32,1678527216.64,1297384356.25,0.56
S11,2253652241.32,1779493840.61,1360774129.89,0.59
S12,1803541566.52,1489419777.55,1184435936.84,0.47
S13,376191980.00,245213372.84,151535561.71,0.58
S14,266188405.20,186070816.07,126277002.34,0.56
S15,2677024423.22,2078071311.74,1565768730.45,0.56
