StrategyNumber,StrategyName
Baseline,Baseline
S1,Wildlife Management
S2,Landowner Stewardship
S3,Legislation
S4,Protecting habitats
S5,Wildlife crossings
S6,Invasive species & Disease
S7,Restoration and regeneration
S8,Industry-targeted policy and practises
S9,Wildlife Crossing and Restoration+Regeneration
S10,Restoration+Regeneration and Protecting habitats
S11,"Restoration+Regeneration, Protecting habitats and Landowner stewardship"
S12,Legislation and Protecting habitats
S13,Human-wildlife Mgmt and Restoration+Regeneration
S14,"Landowner stewardship, Industry-targeted policy and practices, Legislation"
S15,All strategies
