Ecological.Group,Wt.Best_Baseline,Wt.Low_Baseline,Wt.High_Baseline,Wt.Best_S1,Wt.Low_S1,Wt.High_S1,Wt.Best_S2,Wt.Low_S2,Wt.High_S2,Wt.Best_S3,Wt.Low_S3,Wt.High_S3,Wt.Best_S4,Wt.Low_S4,Wt.High_S4,Wt.Best_S5,Wt.Low_S5,Wt.High_S5,Wt.Best_S6,Wt.Low_S6,Wt.High_S6,Wt.Best_S7,Wt.Low_S7,Wt.High_S7,Wt.Best_S8,Wt.Low_S8,Wt.High_S8,Wt.Best_S9,Wt.Low_S9,Wt.High_S9,Wt.Best_S10,Wt.Low_S10,Wt.High_S10,Wt.Best_S11,Wt.Low_S11,Wt.High_S11,Wt.Best_S12,Wt.Low_S12,Wt.High_S12,Wt.Best_S13,Wt.Low_S13,Wt.High_S13,Wt.Best_S14,Wt.Low_S14,Wt.High_S14,Wt.Best_S15,Wt.Low_S15,Wt.High_S15
Alvar species,40,24.444444444444443,48.888888888888886,43.333333333333336,26.666666666666664,51.666666666666664,53.888888888888886,35.55555555555556,61.666666666666664,66.11111111111111,50,74.44444444444444,60,45.55555555555556,69.44444444444444,40,24.444444444444443,48.888888888888886,47.22222222222222,32.22222222222222,55.55555555555555,53.333333333333336,35.55555555555556,61.666666666666664,52.22222222222222,34.44444444444444,61.666666666666664,54.44444444444444,35.55555555555556,62.77777777777777,71.66666666666666,55,80,79.44444444444444,63.33333333333333,87.22222222222221,76.66666666666666,60.55555555555555,85.55555555555554,56.111111111111114,36.666666666666664,63.888888888888886,73.33333333333334,56.666666666666664,82.22222222222223,83.33333333333333,68.33333333333333,90
Artificial structure dependent spp,48,37.25,57.5,48,37.25,57.5,65.75,53.25,73.5,60.25,47,68.75,49.5,38.75,59,48,37.25,57.5,48,37.25,57.5,65.25,50,73.25,54.25,41.25,62,66.25,51,73.25,67.75,51,74.75,71.75,57.75,81,63.25,49.25,72.5,66.25,51,73.25,71,58.5,80.25,74,60.75,81.75
Bats,38.103448275862064,19.310344827586206,46.37931034482759,39.48275862068965,20.689655172413794,47.93103448275862,49.99999999999999,26.379310344827587,58.96551724137931,48.62068965517241,27.137931034482758,59.03448275862069,47.241379310344826,24.310344827586206,55,38.103448275862064,19.310344827586206,46.37931034482759,59.55172413793103,38.275862068965516,68.79310344827587,46.37931034482758,25.689655172413794,55.17241379310345,40.93103448275862,21.551724137931036,50,46.37931034482758,25.689655172413794,55.17241379310345,52.82758620689655,33.275862068965516,60.17241379310345,57.068965517241374,35.51724137931035,65.17241379310344,55.51724137931034,33.39655172413793,64.0344827586207,47.75862068965517,26.379310344827587,56.62068965517241,53.51724137931034,29.206896551724135,62.58620689655173,66.55172413793103,44.6551724137931,75.17241379310344
Forest species,45,27.857142857142854,55.71428571428571,62.14285714285714,41.42857142857142,72.85714285714285,67.14285714285714,42.14285714285714,75.71428571428571,68.57142857142857,46.42857142857142,76.42857142857142,64.28571428571428,45,71.42857142857142,48.57142857142857,31.428571428571423,59.28571428571428,65,45,74.28571428571428,72.14285714285714,53.57142857142857,80.71428571428571,67.14285714285714,47.857142857142854,75.71428571428571,72.14285714285714,53.57142857142857,80.71428571428571,78.57142857142857,62.14285714285714,85.71428571428571,80.71428571428572,67.14285714285714,87.85714285714285,75.71428571428571,57.85714285714285,82.14285714285714,74.28571428571428,57.85714285714285,82.14285714285714,77.85714285714286,59.28571428571428,83.57142857142856,82.85714285714286,69.28571428571428,89.28571428571428
Mixed forest species,48.4,31.4,59.6,61.599999999999994,43.4,71.6,59,41.099999999999994,69,62.32,44.12,72.32,60.64,43.879999999999995,71.24,54.04,37.04,64.64,55.12,41.12,65.12,64.64,48,72.6,59.239999999999995,43.199999999999996,69.6,65,49.199999999999996,73.2,68.96,51.839999999999996,78.24000000000001,72.08,56.76,80.16,69.03999999999999,50.839999999999996,77.24000000000001,68.47999999999999,50.64,77.52,69.8,52.2,79.8,75.2,58.8,84
Ciscos,39,30,46,39,30,46,39,30,46,46,35,53,41,32,48,40,31,46,46,38,54,39,30,46,43,34,49,40,31,46,41,32,48,41,32,48,47,36,54,41,32,48,49,38,55,52,40,61
Mussels,46.666666666666664,31.666666666666668,55,48.888888888888886,32.77777777777778,56.666666666666664,56.666666666666664,42.22222222222222,63.888888888888886,57.22222222222222,40,65,52.77777777777777,38.88888888888889,60,54.44444444444444,38.333333333333336,62.22222222222222,62.77777777777777,46.66666666666667,71.11111111111111,53.44444444444444,38.44444444444444,61.22222222222222,58.888888888888886,43.333333333333336,66.66666666666667,57.44444444444444,40.111111111111114,65.22222222222223,58,42.333333333333336,66.33333333333333,61.33333333333333,45.22222222222222,69.11111111111111,59.666666666666664,42.44444444444444,66.88888888888889,56.77777777777777,39.55555555555556,63.44444444444444,66.33333333333333,50.111111111111114,73.55555555555556,70,53.33333333333333,77.22222222222223
Naturalized open habitat spp,48.125,34.375,61.875,57.5,42.5,71.875,65.625,46.875,74.375,66.25,48.125,76.25,65,48.75,75,52.5,37.5,65.625,60.625,43.75,71.25,65,47.5,73.75,62.5,46.25,70.625,65.625,48.125,75,74.375,55,82.5,77.5,61.25,85.5,71.875,55,80.625,69.375,51.25,77.5,71.25,55.625,79.375,80.625,65.625,88
Oak savannah species,44.166666666666664,29.999999999999996,55,65.83333333333333,44.166666666666664,76.66666666666666,60,42.5,69.16666666666667,67.5,46.66666666666666,75,60,44.16666666666666,68.33333333333333,44.166666666666664,29.999999999999996,55,58.33333333333333,39.166666666666664,66.66666666666667,65,45.83333333333333,72.5,54.166666666666664,37.5,62.5,60,41.666666666666664,69.16666666666667,64.16666666666666,44.166666666666664,72.5,65.83333333333333,46.66666666666666,74.16666666666666,59.166666666666664,40.83333333333333,69.16666666666667,66.66666666666666,47.5,76.66666666666666,66.66666666666666,46.66666666666666,75,72.5,54.16666666666666,81.66666666666666
Riparian species,47.5,32.5,57.5,52.5,35,61.875,55.625,40,63.125,61.875,46.25,70.625,65,49.375,73.75,48.75,33.75,58.75,55,40.625,63.125,66.25,48.75,73.75,54.375,41.25,61.875,62.5,44.375,70.625,67.5,49.375,75,68.75,51.875,77.5,64.375,50,74.375,63.75,45.625,72.5,61.875,45,69.375,73.75,57.5,81.875
