"total_cost","strategies","species_groups","threshold","number_of_species","budget.max"
0,"Baseline","Sandy species | Snakes and lizard | Working landscapes species",50,3,0
27475428.26,"S3","Alvar species | Artificial structure dependent spp | Forest species | Mixed forest species | Mussels | Naturalized open habitat spp | Oak savannah species | Riparian species | Riverine species | Wetland species | Sandy species | Snakes and lizard | Working landscapes species",50,13,27475428.26
115981585.96,"S3 + S5","Alvar species | Artificial structure dependent spp | Forest species | Mixed forest species | Mussels | Naturalized open habitat spp | Oak savannah species | Riparian species | Riverine species | Turtles | Wetland species | Sandy species | Snakes and lizard | Working landscapes species",50,14,117475428.26
2078071312,"S15","Alvar species | Artificial structure dependent spp | Bats | Forest species | Mixed forest species | Mussels | Naturalized open habitat spp | Oak savannah species | Riparian species | Riverine species | Turtles | Wetland species | Sandy species | Snakes and lizard | Working landscapes species",50,15,2078071312
0,"Baseline","Working landscapes species",60,1,0
88506157.7,"S5","Snakes and lizard | Working landscapes species",60,2,88506157.7
100966624,"S2","Artificial structure dependent spp | Naturalized open habitat spp | Working landscapes species",60,3,100966624
186070816.1,"S14","Artificial structure dependent spp | Forest species | Mixed forest species | Naturalized open habitat spp | Working landscapes species",60,5,186070816.1
274576973.8,"S5 + S14","Artificial structure dependent spp | Forest species | Mixed forest species | Naturalized open habitat spp | Snakes and lizard | Working landscapes species",60,6,297475428.26
402653683.5,"S7 + S14","Artificial structure dependent spp | Forest species | Mixed forest species | Naturalized open habitat spp | Sandy species | Snakes and lizard | Working landscapes species",60,7,417475428.26
1779493841,"S11","Alvar species | Artificial structure dependent spp | Forest species | Mixed forest species | Naturalized open habitat spp | Riparian species | Sandy species | Snakes and lizard | Wetland species | Working landscapes species",60,10,1779493841
2078071312,"S15","Alvar species | Artificial structure dependent spp | Forest species | Mixed forest species | Mussels | Naturalized open habitat spp | Oak savannah species | Riparian species | Sandy species | Snakes and lizard | Wetland species | Working landscapes species",60,12,2078071312
