"total_cost","strategies","species_groups","threshold","number_of_species","budget.max"
0,"Baseline","",10,0,0
27475428.26,"S3","Alvar species",10,1,27475428.26
88506157.7,"S5","Riverine species | Snakes and lizard | Turtles",10,3,88506157.7
115981585.96,"S3 + S5","Alvar species | Riverine species | Snakes and lizard | Turtles",10,4,1.2e+08
173610349.81,"S3 + S5 + S8","Alvar species | Forest species | Riverine species | Snakes and lizard | Turtles",10,5,1.8e+08
186070816.1,"S14","Alvar species | Artificial structure dependent spp | Forest species | Mixed forest species | Mussels | Naturalized open habitat spp | Sandy species | Turtles | Wetland species",10,9,186070816.1
274576973.8,"S5 + S14","Alvar species | Artificial structure dependent spp | Forest species | Mixed forest species | Mussels | Naturalized open habitat spp | Riverine species | Sandy species | Snakes and lizard | Turtles | Wetland species",10,11,3e+08
402653683.5,"S7 + S14","Alvar species | Artificial structure dependent spp | Forest species | Mixed forest species | Mussels | Naturalized open habitat spp | Oak savannah species | Riparian species | Sandy species | Snakes and lizard | Turtles | Wetland species",10,12,4.2e+08
491159841.2,"S5 + S7 + S14","Alvar species | Artificial structure dependent spp | Forest species | Mixed forest species | Mussels | Naturalized open habitat spp | Oak savannah species | Riparian species | Riverine species | Sandy species | Snakes and lizard | Turtles | Wetland species",10,13,5.1e+08
1953104190.21,"S5 + S11 + S14","Alvar species | Artificial structure dependent spp | Bats | Forest species | Mixed forest species | Mussels | Naturalized open habitat spp | Oak savannah species | Riparian species | Riverine species | Sandy species | Snakes and lizard | Turtles | Wetland species",10,14,1.98e+09
0,"Baseline","",15,0,0
88506157.7,"S5","Turtles",15,1,88506157.7
186070816.1,"S14","Alvar species | Forest species",15,2,186070816.1
274576973.8,"S5 + S14","Alvar species | Forest species | Turtles",15,3,3e+08
491159841.2,"S5 + S7 + S14","Alvar species | Forest species | Sandy species | Turtles",15,4,5.1e+08
1779493841,"S11","Alvar species | Forest species | Mixed forest species | Naturalized open habitat spp | Sandy species | Turtles | Wetland species",15,7,1779493841
0,"Baseline","",20,0,0
1678527217,"S10","Forest species",20,1,1678527217
1779493841,"S11","Alvar species | Forest species",20,2,1779493841
