Ecological.Group,Wt.Best_S1,Wt.Low_S1,Wt.High_S1,Wt.Best_S2,Wt.Low_S2,Wt.High_S2,Wt.Best_S3,Wt.Low_S3,Wt.High_S3,Wt.Best_S4,Wt.Low_S4,Wt.High_S4,Wt.Best_S5,Wt.Low_S5,Wt.High_S5,Wt.Best_S6,Wt.Low_S6,Wt.High_S6,Wt.Best_S7,Wt.Low_S7,Wt.High_S7,Wt.Best_S8,Wt.Low_S8,Wt.High_S8,Wt.Best_S9,Wt.Low_S9,Wt.High_S9,Wt.Best_S10,Wt.Low_S10,Wt.High_S10,Wt.Best_S11,Wt.Low_S11,Wt.High_S11,Wt.Best_S12,Wt.Low_S12,Wt.High_S12,Wt.Best_S13,Wt.Low_S13,Wt.High_S13,Wt.Best_S14,Wt.Low_S14,Wt.High_S14,Wt.Best_S15,Wt.Low_S15,Wt.High_S15
Alvar species,3.333333333333333,2.2222222222222223,2.7777777777777777,13.88888888888889,11.11111111111111,12.777777777777779,26.11111111111111,25.555555555555557,25.555555555555554,20,21.11111111111111,20.555555555555557,0,0,0,7.222222222222222,7.777777777777778,6.666666666666666,13.333333333333334,11.11111111111111,12.777777777777777,12.222222222222221,10,12.777777777777777,14.444444444444445,11.11111111111111,13.88888888888889,31.666666666666664,30.555555555555554,31.11111111111111,39.44444444444444,38.888888888888886,38.33333333333333,36.666666666666664,36.11111111111111,36.666666666666664,16.11111111111111,12.222222222222223,15,33.333333333333336,32.22222222222222,33.333333333333336,43.33333333333333,43.888888888888886,41.11111111111111
Artificial structure dependent species,0,0,0,17.75,16,16,12.25,9.75,11.25,1.5,1.5,1.5,0,0,0,0,0,0,17.25,12.75,15.75,6.25,4,4.5,18.25,13.75,15.75,19.75,13.75,17.25,23.75,20.5,23.5,15.25,12,15,18.25,13.75,15.75,23,21.25,22.75,26,23.5,24.25
Bats,1.3793103448275863,1.3793103448275863,1.5517241379310347,11.89655172413793,7.068965517241379,12.586206896551724,10.517241379310345,7.827586206896552,12.655172413793103,9.13793103448276,5,8.620689655172415,0,0,0,21.448275862068964,18.96551724137931,22.413793103448278,8.275862068965518,6.379310344827586,8.793103448275863,2.827586206896552,2.241379310344828,3.620689655172414,8.275862068965518,6.379310344827586,8.793103448275863,14.724137931034484,13.965517241379311,13.793103448275863,18.96551724137931,16.20689655172414,18.79310344827586,17.413793103448278,14.086206896551724,17.655172413793103,9.655172413793103,7.06896551724138,10.241379310344827,15.413793103448276,9.89655172413793,16.20689655172414,28.448275862068964,25.344827586206897,28.79310344827586
Forest species,17.142857142857142,13.57142857142857,17.142857142857142,22.142857142857142,14.285714285714285,19.999999999999996,23.57142857142857,18.57142857142857,20.71428571428571,19.285714285714285,17.142857142857142,15.714285714285712,3.571428571428571,3.571428571428571,3.571428571428571,20,17.142857142857142,18.57142857142857,27.142857142857142,25.71428571428571,24.999999999999996,22.142857142857142,20,19.999999999999996,27.142857142857142,25.71428571428571,24.999999999999996,33.57142857142857,34.285714285714285,30,35.714285714285715,39.285714285714285,32.14285714285714,30.71428571428571,29.999999999999996,26.428571428571427,29.28571428571428,29.999999999999996,26.428571428571427,32.857142857142854,31.428571428571427,27.857142857142854,37.857142857142854,41.42857142857142,33.57142857142857
Mixed forest species,13.2,12,12,10.6,9.7,9.4,13.92,12.719999999999999,12.719999999999999,12.239999999999998,12.479999999999999,11.639999999999999,5.64,5.64,5.04,6.72,9.719999999999999,5.52,16.24,16.599999999999998,12.999999999999998,10.84,11.799999999999999,10,16.599999999999998,17.799999999999997,13.6,20.56,20.439999999999998,18.64,23.68,25.36,20.56,20.64,19.439999999999998,17.64,20.08,19.24,17.919999999999998,21.4,20.8,20.2,26.8,27.4,24.4
Ciscos,0,0,0,0,0,0,7,5,7,2,2,2,1,1,0,7,8,8,0,0,0,4,4,3,1,1,0,2,2,2,2,2,2,8,6,8,2,2,2,10,8,9,13,10,15
Mussels,2.2222222222222223,1.1111111111111112,1.6666666666666667,10,10.555555555555555,8.88888888888889,10.555555555555555,8.333333333333334,10,6.111111111111111,7.222222222222222,5,7.777777777777778,6.666666666666667,7.222222222222222,16.11111111111111,15,16.11111111111111,6.777777777777778,6.777777777777778,6.222222222222222,12.222222222222221,11.666666666666666,11.666666666666666,10.777777777777777,8.444444444444445,10.222222222222221,11.333333333333332,10.666666666666668,11.333333333333332,14.666666666666666,13.555555555555555,14.11111111111111,13,10.777777777777777,11.88888888888889,10.11111111111111,7.888888888888889,8.444444444444445,19.666666666666664,18.444444444444443,18.555555555555554,23.333333333333332,21.666666666666664,22.22222222222222
Naturalized open habitat species,9.375,8.125,10,17.5,12.5,12.5,18.125,13.75,14.375,16.875,14.375,13.125,4.375,3.125,3.75,12.5,9.375,9.375,16.875,13.125,11.875,14.375,11.875,8.75,17.5,13.75,13.125,26.25,20.625,20.625,29.375,26.875,23.625,23.75,20.625,18.75,21.25,16.875,15.625,23.125,21.25,17.5,32.5,31.25,26.125
Oak savannah species,21.666666666666664,14.166666666666666,21.666666666666664,15.833333333333332,12.5,14.166666666666666,23.333333333333332,16.666666666666664,20,15.833333333333332,14.166666666666664,13.333333333333332,0,0,0,14.166666666666666,9.166666666666666,11.666666666666666,20.833333333333332,15.833333333333332,17.5,10,7.5,7.5,15.833333333333332,11.666666666666666,14.166666666666666,20,14.166666666666666,17.5,21.666666666666664,16.666666666666664,19.166666666666664,14.999999999999998,10.833333333333332,14.166666666666666,22.5,17.5,21.666666666666664,22.5,16.666666666666664,20,28.333333333333332,24.166666666666664,26.666666666666664
Riparian species,5,2.5,4.375,8.125,7.5,5.625,14.375,13.75,13.125,17.5,16.875,16.25,1.25,1.25,1.25,7.5,8.125,5.625,18.75,16.25,16.25,6.875,8.75,4.375,15,11.875,13.125,20,16.875,17.5,21.25,19.375,20,16.875,17.5,16.875,16.25,13.125,15,14.375,12.5,11.875,26.25,25,24.375
