Ecological.Group,Strategy,Wt.Best,Wt.High,Wt.Low
Alvar species,Baseline,40,48.888888888888886,24.444444444444443
Alvar species,S1,43.333333333333336,51.666666666666664,26.666666666666664
Alvar species,S2,53.888888888888886,61.666666666666664,35.55555555555556
Alvar species,S3,66.11111111111111,74.44444444444444,50
Alvar species,S4,60,69.44444444444444,45.55555555555556
Alvar species,S5,40,48.888888888888886,24.444444444444443
Alvar species,S6,47.22222222222222,55.55555555555555,32.22222222222222
Alvar species,S7,53.333333333333336,61.666666666666664,35.55555555555556
Alvar species,S8,52.22222222222222,61.666666666666664,34.44444444444444
Alvar species,S9,54.44444444444444,62.77777777777777,35.55555555555556
Alvar species,S10,71.66666666666666,80,55
Alvar species,S11,79.44444444444444,87.22222222222221,63.33333333333333
Alvar species,S12,76.66666666666666,85.55555555555554,60.55555555555555
Alvar species,S13,56.111111111111114,63.888888888888886,36.666666666666664
Alvar species,S14,73.33333333333334,82.22222222222223,56.666666666666664
Alvar species,S15,83.33333333333333,90,68.33333333333333
Artificial structure dependent spp,Baseline,48,57.5,37.25
Artificial structure dependent spp,S1,48,57.5,37.25
Artificial structure dependent spp,S2,65.75,73.5,53.25
Artificial structure dependent spp,S3,60.25,68.75,47
Artificial structure dependent spp,S4,49.5,59,38.75
Artificial structure dependent spp,S5,48,57.5,37.25
Artificial structure dependent spp,S6,48,57.5,37.25
Artificial structure dependent spp,S7,65.25,73.25,50
Artificial structure dependent spp,S8,54.25,62,41.25
Artificial structure dependent spp,S9,66.25,73.25,51
Artificial structure dependent spp,S10,67.75,74.75,51
Artificial structure dependent spp,S11,71.75,81,57.75
Artificial structure dependent spp,S12,63.25,72.5,49.25
Artificial structure dependent spp,S13,66.25,73.25,51
Artificial structure dependent spp,S14,71,80.25,58.5
Artificial structure dependent spp,S15,74,81.75,60.75
Bats,Baseline,38.103448275862064,46.37931034482759,19.310344827586206
Bats,S1,39.48275862068965,47.93103448275862,20.689655172413794
Bats,S2,49.99999999999999,58.96551724137931,26.379310344827587
Bats,S3,48.62068965517241,59.03448275862069,27.13793103448276
Bats,S4,47.241379310344826,55,24.310344827586206
Bats,S5,38.103448275862064,46.37931034482759,19.310344827586206
Bats,S6,59.55172413793103,68.79310344827587,38.27586206896552
Bats,S7,46.37931034482758,55.17241379310345,25.689655172413794
Bats,S8,40.93103448275862,50,21.551724137931036
Bats,S9,46.37931034482758,55.17241379310345,25.689655172413794
Bats,S10,52.82758620689655,60.17241379310345,33.275862068965516
Bats,S11,57.068965517241374,65.17241379310344,35.51724137931035
Bats,S12,55.51724137931034,64.0344827586207,33.39655172413793
Bats,S13,47.75862068965517,56.62068965517241,26.379310344827587
Bats,S14,53.51724137931034,62.58620689655173,29.206896551724135
Bats,S15,66.55172413793103,75.17241379310344,44.6551724137931
Forest species,Baseline,45,55.71428571428571,27.857142857142858
Forest species,S1,62.14285714285714,72.85714285714285,41.42857142857142
Forest species,S2,67.14285714285714,75.71428571428571,42.14285714285714
Forest species,S3,68.57142857142857,76.42857142857142,46.42857142857142
Forest species,S4,64.28571428571428,71.42857142857142,45
Forest species,S5,48.57142857142857,59.28571428571428,31.428571428571423
Forest species,S6,65,74.28571428571428,45
Forest species,S7,72.14285714285714,80.71428571428571,53.57142857142857
Forest species,S8,67.14285714285714,75.71428571428571,47.857142857142854
Forest species,S9,72.14285714285714,80.71428571428571,53.57142857142857
Forest species,S10,78.57142857142857,85.71428571428571,62.14285714285714
Forest species,S11,80.71428571428572,87.85714285714285,67.14285714285714
Forest species,S12,75.71428571428571,82.14285714285714,57.85714285714285
Forest species,S13,74.28571428571428,82.14285714285714,57.85714285714285
Forest species,S14,77.85714285714286,83.57142857142856,59.28571428571428
Forest species,S15,82.85714285714286,89.28571428571428,69.28571428571428
Mixed forest species,Baseline,48.4,59.6,31.4
