"Ecological.Group","Wt.Best_S1","Wt.Low_S1","Wt.High_S1","Wt.Best_S2","Wt.Low_S2","Wt.High_S2","Wt.Best_S3","Wt.Low_S3","Wt.High_S3","Wt.Best_S4","Wt.Low_S4","Wt.High_S4","Wt.Best_S5","Wt.Low_S5","Wt.High_S5","Wt.Best_S6","Wt.Low_S6","Wt.High_S6","Wt.Best_S7","Wt.Low_S7","Wt.High_S7","Wt.Best_S8","Wt.Low_S8","Wt.High_S8","Wt.Best_S9","Wt.Low_S9","Wt.High_S9","Wt.Best_S10","Wt.Low_S10","Wt.High_S10","Wt.Best_S11","Wt.Low_S11","Wt.High_S11","Wt.Best_S12","Wt.Low_S12","Wt.High_S12","Wt.Best_S13","Wt.Low_S13","Wt.High_S13","Wt.Best_S14","Wt.Low_S14","Wt.High_S14","Wt.Best_S15","Wt.Low_S15","Wt.High_S15"
"Alvar species",1.83333333333333,1.22222222222222,1.52777777777778,9.02777777777778,7.22222222222222,8.30555555555556,10.9666666666667,10.7333333333333,10.7333333333333,10.2,10.7666666666667,10.4833333333333,0,0,0,3.17777777777778,3.42222222222222,2.93333333333333,8.26666666666667,6.88888888888889,7.92222222222222,7.33333333333333,6,7.66666666666667,9.24444444444445,7.11111111111111,8.88888888888889,17.7333333333333,17.1111111111111,17.4222222222222,23.2722222222222,22.9444444444444,22.6166666666667,17.2333333333333,16.9722222222222,17.2333333333333,9.34444444444444,7.08888888888889,8.7,18.6666666666667,18.0444444444444,18.6666666666667,24.2666666666667,24.5777777777778,23.0222222222222
"Artificial structure dependent spp",0,0,0,11.5375,10.4,10.4,5.145,4.095,4.725,0.765,0.765,0.765,0,0,0,0,0,0,10.695,7.905,9.765,3.75,2.4,2.7,11.68,8.8,10.08,11.06,7.7,9.66,14.0125,12.095,13.865,7.1675,5.64,7.05,10.585,7.975,9.135,12.88,11.9,12.74,14.56,13.16,13.58
"Bats",0.758620689655172,0.758620689655172,0.853448275862069,7.73275862068965,4.5948275862069,8.18103448275862,4.41724137931034,3.28758620689655,5.3151724137931,4.66034482758621,2.55,4.39655172413793,0,0,0,9.43724137931035,8.3448275862069,9.86206896551724,5.13103448275862,3.9551724137931,5.45172413793104,1.69655172413793,1.3448275862069,2.17241379310345,5.29655172413793,4.08275862068966,5.62758620689655,8.24551724137931,7.82068965517241,7.72413793103448,11.1896551724138,9.56206896551724,11.0879310344828,8.18448275862069,6.62051724137931,8.29793103448276,5.6,4.1,5.94,8.63172413793104,5.54206896551724,9.07586206896552,15.9310344827586,14.1931034482759,16.1241379310345
"Forest species",9.42857142857143,7.46428571428571,9.42857142857143,14.3928571428571,9.28571428571428,13,9.9,7.8,8.7,9.83571428571429,8.74285714285714,8.01428571428571,2.35714285714286,2.35714285714286,2.35714285714286,8.8,7.54285714285714,8.17142857142857,16.8285714285714,15.9428571428571,15.5,13.2857142857143,12,12,17.3714285714286,16.4571428571429,16,18.8,19.2,16.8,21.0714285714286,23.1785714285714,18.9642857142857,14.4357142857143,14.1,12.4214285714286,16.9857142857143,17.4,15.3285714285714,18.4,17.6,15.6,21.2,23.2,18.8
"Mixed forest species",7.26,6.6,6.6,6.89,6.305,6.11,5.8464,5.3424,5.3424,6.2424,6.3648,5.9364,3.7224,3.7224,3.3264,2.9568,4.2768,2.4288,10.0688,10.292,8.06,6.504,7.08,6,10.624,11.392,8.704,11.5136,11.4464,10.4384,13.9712,14.9624,12.1304,9.7008,9.1368,8.2908,11.6464,11.1592,10.3936,11.984,11.648,11.312,15.008,15.344,13.664
"Ciscos",0,0,0,0,0,0,2.94,2.1,2.94,1.02,1.02,1.02,0.66,0.66,0,3.08,3.52,3.52,0,0,0,2.4,2.4,1.8,0.64,0.64,0,1.12,1.12,1.12,1.18,1.18,1.18,3.76,2.82,3.76,1.16,1.16,1.16,5.6,4.48,5.04,7.28,5.6,8.4
"Mussels",1.22222222222222,0.611111111111111,0.916666666666667,6.5,6.86111111111111,5.77777777777778,4.43333333333333,3.5,4.2,3.11666666666667,3.68333333333333,2.55,5.13333333333333,4.4,4.76666666666667,7.08888888888889,6.6,7.08888888888889,4.20222222222222,4.20222222222222,3.85777777777778,7.33333333333333,7,7,6.89777777777778,5.40444444444444,6.54222222222222,6.34666666666667,5.97333333333333,6.34666666666667,8.65333333333333,7.99777777777778,8.32555555555555,6.11,5.06555555555556,5.58777777777778,5.86444444444444,4.57555555555556,4.89777777777778,11.0133333333333,10.3288888888889,10.3911111111111,13.0666666666667,12.1333333333333,12.4444444444444
"Naturalized open habitat spp",5.15625,4.46875,5.5,11.375,8.125,8.125,7.6125,5.775,6.0375,8.60625,7.33125,6.69375,2.8875,2.0625,2.475,5.5,4.125,4.125,10.4625,8.1375,7.3625,8.625,7.125,5.25,11.2,8.8,8.4,14.7,11.55,11.55,17.33125,15.85625,13.93875,11.1625,9.69375,8.8125,12.325,9.7875,9.0625,12.95,11.9,9.8,18.2,17.5,14.63
"Oak savannah species",11.9166666666667,7.79166666666667,11.9166666666667,10.2916666666667,8.125,9.20833333333333,9.8,7,8.4,8.075,7.225,6.8,0,0,0,6.23333333333333,4.03333333333333,5.13333333333333,12.9166666666667,9.81666666666667,10.85,6,4.5,4.5,10.1333333333333,7.46666666666667,9.06666666666667,11.2,7.93333333333333,9.8,12.7833333333333,9.83333333333333,11.3083333333333,7.05,5.09166666666667,6.65833333333333,13.05,10.15,12.5666666666667,12.6,9.33333333333333,11.2,15.8666666666667,13.5333333333333,14.9333333333333
"Riparian species",2.75,1.375,2.40625,5.28125,4.875,3.65625,6.0375,5.775,5.5125,8.925,8.60625,8.2875,0.825,0.825,0.825,3.3,3.575,2.475,11.625,10.075,10.075,4.125,5.25,2.625,9.6,7.6,8.4,11.2,9.45,9.8,12.5375,11.43125,11.8,7.93125,8.225,7.93125,9.425,7.6125,8.7,8.05,7,6.65,14.7,14,13.65
