"Alvar species","Artificial structure dependent spp","Bats","Forest species","Mixed forest species","Ciscos","Mussels","Naturalized open habitat spp","Oak savannah species","Riparian species","Riverine species","Sandy species","Snakes and lizard","Turtles","Wetland species","Working landscapes species"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,1,9,7,0,1,5,12,3,2,6,4,6,3,0
9,12,8,14,7,0,6,11,10,5,7,8,6,9,6,7
11,5,4,10,6,3,4,8,10,6,6,7,6,9,7,3
10,1,5,10,6,1,3,9,8,9,6,10,8,9,9,2
0,0,0,2,4,1,5,3,0,1,11,0,11,17,3,0
3,0,9,9,3,3,7,6,6,3,5,5,4,5,4,1
8,11,5,17,10,0,4,10,13,12,7,14,11,13,10,6
7,4,2,13,7,2,7,9,6,4,7,6,5,6,5,4
9,12,5,17,11,1,7,11,10,10,10,11,12,17,11,4
18,11,8,19,12,1,6,15,11,11,7,13,9,12,13,4
23,14,11,21,14,1,9,17,13,13,9,15,11,15,15,7
17,7,8,14,10,4,6,11,7,8,7,9,7,10,11,4
9,11,6,17,12,1,6,12,13,9,6,12,8,11,9,4
19,13,9,18,12,6,11,13,13,8,9,9,7,11,11,7
24,15,16,21,15,7,13,18,16,15,12,15,12,18,16,9
