"Alvar species","Artificial structure dependent spp","Bats","Forest species","Mixed forest species","Ciscos","Mussels","Naturalized open habitat spp","Oak savannah species","Riparian species","Riverine species","Sandy species","Snakes and lizard","Turtles","Wetland species","Working landscapes species"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,1,9,7,0,1,6,12,2,2,6,3,5,3,0
8,10,8,13,6,0,6,8,9,4,7,6,5,8,6,8
11,5,5,9,5,3,4,6,8,6,6,6,4,8,8,3
10,1,4,8,6,1,3,7,7,8,6,9,6,9,9,1
0,0,0,2,3,0,5,3,0,1,12,0,10,17,4,0
3,0,10,8,2,4,7,4,5,2,5,4,3,4,3,1
8,10,5,16,8,0,4,7,11,10,7,13,9,13,10,6
8,3,2,12,6,2,7,5,4,3,7,4,4,5,5,4
9,10,6,16,9,0,7,8,9,8,11,10,11,16,10,5
18,10,8,17,11,1,6,12,10,10,7,12,8,13,13,5
23,14,11,19,12,1,8,14,11,12,9,13,10,15,14,7
17,7,8,12,8,4,6,9,7,8,8,9,5,10,11,4
9,9,6,15,10,1,5,9,13,9,6,11,7,11,8,4
19,13,9,16,11,5,10,10,11,7,10,8,7,11,11,8
23,14,16,19,14,8,12,15,15,14,13,13,12,16,15,10
