"Alvar species","Artificial structure dependent spp","Bats","Forest species","Mixed forest species","Ciscos","Mussels","Naturalized open habitat spp","Oak savannah species","Riparian species","Riverine species","Sandy species","Snakes and lizard","Turtles","Wetland species","Working landscapes species"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,1,7,7,0,1,4,8,1,3,6,3,6,4,0
7,10,5,9,6,0,7,8,8,5,7,7,6,7,9,6
11,4,3,8,5,2,4,6,7,6,5,7,6,8,8,3
11,1,3,9,6,1,4,7,7,9,6,11,7,9,10,2
0,0,0,2,4,1,4,2,0,1,10,0,10,16,5,0
3,0,8,8,4,4,7,4,4,4,4,6,3,4,5,1
7,8,4,16,10,0,4,8,10,10,7,15,10,13,11,5
6,2,1,12,7,2,7,7,4,5,6,7,5,6,8,6
7,9,4,16,11,1,5,9,7,8,9,12,12,17,11,3
17,8,8,20,12,1,6,12,8,10,6,14,9,12,13,3
23,12,10,23,15,1,8,16,10,11,9,16,11,16,15,6
17,6,7,14,9,3,5,10,5,8,7,12,6,10,12,3
7,8,4,17,11,1,5,10,10,8,7,12,8,11,10,4
18,12,6,18,12,4,10,12,9,7,9,10,7,11,12,7
25,13,14,23,15,6,12,18,14,14,12,16,14,17,16,8
