"Alvar species","Artificial structure dependent spp","Bats","Forest species","Mixed forest species","Ciscos","Mussels","Naturalized open habitat spp","Oak savannah species","Riparian species","Riverine species","Sandy species","Snakes and lizard","Turtles","Wetland species","Working landscapes species"
49,58,46,56,60,46,55,62,55,58,54,59,63,50,55,69
50,58,47,65,66,46,56,67,67,60,56,65,66,54,58,69
57,68,55,69,66,46,61,70,64,61,61,65,68,58,61,76
60,62,52,64,65,49,59,68,63,63,60,66,67,58,63,72
59,58,51,64,66,47,58,69,62,66,60,69,69,58,64,70
49,58,46,58,63,46,60,64,55,58,66,59,72,67,59,69
52,58,56,64,62,50,62,66,60,60,59,63,66,54,58,70
57,67,52,71,68,46,59,69,66,68,61,72,72,63,65,75
57,60,49,68,66,48,62,67,60,60,61,64,66,55,60,73
58,68,52,72,68,46,62,70,64,66,65,69,73,66,65,74
67,67,54,73,70,47,61,74,65,67,61,72,71,63,68,73
72,71,57,75,72,47,63,76,66,69,64,73,72,65,69,76
66,65,55,68,68,50,61,71,62,65,62,69,68,59,66,73
58,67,52,71,70,47,60,71,68,66,60,70,70,61,63,73
68,70,55,71,71,51,65,72,66,64,64,68,69,60,66,77
72,71,63,75,73,54,67,77,70,71,67,72,75,66,70,79
