"","Baseline","S1","S2","S3","S4","S5","S6","S7","S8","S9","S10","S11","S12","S13","S14","S15"
"Alvar species",9,9,9,9,9,9,9,9,8,9,9,9,9,9,9,9
"Artificial structure dependent spp",7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
"Bats",8,8,8,8,8,8,8,8,8,8,8,8,8,8,7,8
"Ciscos",5,4,4,4,3,4,3,4,4,4,4,4,4,4,4,5
"Forest species",7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
"Mixed forest species",9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
"Mussels",9,9,9,9,9,9,9,8,9,8,8,8,8,8,9,9
"Naturalized open habitat spp",8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
"Oak savannah species",6,6,6,6,6,6,6,6,6,5,5,5,4,5,5,5
"Riparian species",8,7,7,7,8,7,7,7,8,6,6,6,6,6,6,7
"Riverine species",11,11,11,11,11,11,11,11,11,10,10,10,10,10,10,10
"Sandy species",7,7,7,7,7,7,7,7,7,6,6,6,6,6,6,6
"Snakes and lizard",9,7,9,9,9,9,8,9,9,8,8,8,8,8,8,8
"Turtles",10,9,10,10,10,10,10,10,10,9,9,9,9,9,9,9
"Wetland species",10,10,10,10,10,10,10,10,10,9,9,9,9,9,9,9
"Working landscapes species",8,8,8,8,8,8,8,8,8,7,7,7,7,7,7,7
