"total_cost","strategies","species_groups","threshold","number_of_species","budget.max","annual_cost"
0,"Baseline","Mixed forest species | Naturalized open habitat spp | Snakes and lizard | Working landscapes species",60,4,0,0
27475428.26,"S3","Alvar species | Artificial structure dependent spp | Forest species | Oak savannah species | Riparian species | Riverine species | Sandy species | Wetland species | Mixed forest species | Naturalized open habitat spp | Snakes and lizard | Working landscapes species",60,12,27475428.26,1499175.04633829
85104192.11,"S3 + S8","Alvar species | Artificial structure dependent spp | Forest species | Mussels | Oak savannah species | Riparian species | Riverine species | Sandy species | Wetland species | Mixed forest species | Naturalized open habitat spp | Snakes and lizard | Working landscapes species",60,13,87475428.26,4643643.0377989
115981585.96,"S3 + S5","Alvar species | Artificial structure dependent spp | Forest species | Mussels | Oak savannah species | Riparian species | Riverine species | Sandy species | Turtles | Wetland species | Mixed forest species | Naturalized open habitat spp | Snakes and lizard | Working landscapes species",60,14,117475428.26,6328443.65010715
2078071311.74,"S15","Alvar species | Artificial structure dependent spp | Bats | Forest species | Mussels | Oak savannah species | Riparian species | Riverine species | Sandy species | Turtles | Wetland species | Mixed forest species | Naturalized open habitat spp | Snakes and lizard | Working landscapes species",60,15,2078071311.74,113388320.123389
0,"Baseline","",70,0,0,0
27475428.26,"S3","Working landscapes species",70,1,27475428.26,1499175.04633829
100966623.96,"S2","Naturalized open habitat spp | Working landscapes species",70,2,100966623.96,5509164.10552262
186070816.07,"S14","Artificial structure dependent spp | Forest species | Mixed forest species | Naturalized open habitat spp | Working landscapes species",70,5,186070816.07,10152807.1433215
245213372.84,"S13","Forest species | Mixed forest species | Naturalized open habitat spp | Sandy species | Snakes and lizard | Working landscapes species",70,6,245213372.84,13379874.050057
402653683.42,"S7 + S14","Artificial structure dependent spp | Forest species | Mixed forest species | Naturalized open habitat spp | Sandy species | Snakes and lizard | Working landscapes species",70,7,417475428.26,21970480.2701213
1779493840.61,"S11","Alvar species | Artificial structure dependent spp | Forest species | Mixed forest species | Naturalized open habitat spp | Sandy species | Snakes and lizard | Working landscapes species",70,8,1779493840.61,97096676.1904516
2078071311.74,"S15","Alvar species | Artificial structure dependent spp | Forest species | Mixed forest species | Naturalized open habitat spp | Oak savannah species | Riparian species | Sandy species | Snakes and lizard | Wetland species | Working landscapes species",70,11,2078071311.74,113388320.123389
